#,kWh,Số tiền phải trả
1,239,556622
2,229,526642
3,239,556622
4,274,661552
5,332,846700
6,380,1007500
7,394,1054400
8,375,990750
9,339,870150
10,283,688534
11,260,619580
12,232,535636
13,238,553624
14,226,517648
15,244,571612
16,271,652558
17,314,786400
18,345,890250
19,360,940500
20,348,900300
21,321,809850
22,285,694530
23,252,595596
24,240,559620
25,234,541632
26,227,520646
27,232,535636
28,264,631572
29,312,779700
30,350,907000
31,364,953900
32,350,907000
33,319,803150
34,274,661552
35,236,547628
36,236,547628
37,228,523644
38,222,505656
39,237,550626
40,282,685536
41,341,876850
42,390,1041000
43,409,1105640
44,390,1041000
45,348,900300
46,297,730506
47,241,562618
48,232,535636
49,255,604590
50,245,574610
51,253,598594
52,274,661552
53,310,773000
54,338,866800
55,352,913700
56,338,866800
57,312,779700
58,277,670546
59,252,595596
60,254,601592
61,180,392100
62,173,375440
63,173,375440
64,187,408760
65,202,445696
66,223,508654
67,236,547628
68,223,508654
69,204,451692
70,188,411140
71,174,377820
72,178,387340
73,296,727508
74,291,712518
75,313,783050
76,362,947200
77,432,1185220
78,482,1358220
79,509,1451640
80,482,1358220
81,438,1205980
82,370,974000
83,313,783050
84,299,736502
85,350,907000
86,343,883550
87,373,984050
88,435,1195600
89,516,1475860
90,578,1690380
91,605,1783800
92,578,1690380
93,521,1493160
94,450,1247500
95,387,1030950
96,359,937150
97,158,339740
98,152,325460
99,151,323080
100,156,334980
101,169,365920
102,182,396860
103,190,415900
104,182,396860
105,168,363540
106,160,344500
107,151,323080
108,157,337360
109,242,565616
110,235,544630
111,246,577608
112,278,673544
113,327,829950
114,371,977350
115,385,1024250
116,371,977350
117,334,853400
118,288,703524
119,247,580606
120,243,568614
